,timestamp,source,log_message,target_label,complexity,clusters
1,1/14/2025 23:07,ModernCRM,Email service experiencing issues with sending,Critical Error,bert,
2,1/17/2025 1:29,AnalyticsEngine,Unauthorized access to data was attempted,Security Alert,bert,
6,3/1/2025 19:14,ModernHR,Shard 6 replication task ended in failure,Error,bert,
10,8/9/2025 18:58,ModernCRM,Email server encountered a sending fault,Error,bert,
11,6/15/2025 11:44,ModernHR,Critical system unit error: unit ID Component55,Critical Error,bert,
13,8/4/2025 19:57,ThirdPartyAPI,Multiple bad login attempts detected on user 8538 account,Security Alert,bert,
18,2/22/2025 17:49,ModernCRM,Account with ID 5351 created by User634.,User Action,regex,
29,3/10/2025 23:11,AnalyticsEngine,Alert: brute force login attempt from 192.168.80.114 detected,Security Alert,bert,
32,5/29/2025 7:36,ModernCRM,Detection of multiple disk faults in RAID setup,Critical Error,bert,
34,9/30/2025 8:13,ThirdPartyAPI,Suspicious login activity detected from 192.168.24.250,Security Alert,bert,
35,6/22/2025 0:22,ThirdPartyAPI,System component malfunction: component ID Component79,Critical Error,bert,
36,11/19/2025 13:14,BillingSystem,System reboot initiated by user User243.,System Notification,regex,
38,8/19/2025 16:43,AnalyticsEngine,Denied access attempt on restricted account Account2682,Security Alert,bert,
42,4/1/2025 16:42,ThirdPartyAPI,Boot process terminated unexpectedly due to kernel issue,Critical Error,bert,
43,11/22/2025 11:06,BillingSystem,"Abnormal system behavior on server 40, potential security breach",Security Alert,bert,
45,5/22/2025 3:17,ThirdPartyAPI,Data replication task for shard 14 did not complete,Error,bert,
46,1/14/2025 4:46,ModernHR,User 7662 tried to bypass API security measures,Security Alert,bert,
51,8/19/2025 5:58,ThirdPartyAPI,Server 4 restarted without warning during data migration,Error,bert,
53,7/29/2025 0:17,ModernHR,Multiple login failures occurred on user 9052 account,Security Alert,bert,
55,6/18/2025 11:21,AnalyticsEngine,Server 34 crashed unexpectedly while syncing data,Error,bert,
62,1/19/2025 13:55,ModernCRM,System configuration is no longer valid,Critical Error,bert,
67,5/12/2025 2:50,ModernHR,Unauthorized login attempt on protected account Account5030,Security Alert,bert,
69,3/7/2025 2:30,ThirdPartyAPI,RAID array suffered multiple hard drive failures,Critical Error,bert,
72,2/3/2025 5:35,AnalyticsEngine,User 7153 made multiple incorrect login attempts,Security Alert,bert,
74,5/9/2025 21:18,BillingSystem,User 8300 made multiple incorrect login attempts,Security Alert,bert,
76,1/4/2025 22:41,ModernCRM,Privilege elevation detected for user 5038,Security Alert,bert,
77,5/3/2025 13:39,AnalyticsEngine,Key system element crashed: element ID Component32,Critical Error,bert,
79,5/11/2025 7:56,AnalyticsEngine,Attempt to access account Account3142 was not authorized,Security Alert,bert,
87,8/6/2025 17:41,ModernHR,API intrusion detection system flagged user 6771,Security Alert,bert,
92,12/4/2025 21:20,BillingSystem,System reboot initiated by user User471.,System Notification,regex,
93,4/4/2025 0:55,BillingSystem,Critical system crash occurred in core application,Critical Error,bert,
95,10/19/2025 17:15,ThirdPartyAPI,Detection of admin privilege misuse by user 1449,Security Alert,bert,
96,12/7/2025 10:38,ModernCRM,Disk cleanup completed successfully.,System Notification,regex,
97,11/1/2025 12:05,AnalyticsEngine,"Server 40 is under potential security threat, review necessary",Security Alert,bert,
98,12/7/2025 8:23,ModernCRM,Data replication task failed for shard 17,Error,bert,
100,7/3/2025 3:29,AnalyticsEngine,"Abnormal behavior found on server 10, possible security threat",Security Alert,bert,
101,1/20/2025 16:11,BillingSystem,Security breach suspected from IP address 192.168.252.92,Security Alert,bert,
102,12/1/2025 20:10,BillingSystem,RAID array experienced multiple disk crashes,Critical Error,bert,
103,9/14/2025 23:03,BillingSystem,Elevation of admin privileges detected for user 6137,Security Alert,bert,
104,6/26/2025 16:19,ModernHR,Replication of data to shard 14 failed,Error,bert,
105,12/30/2025 9:41,ThirdPartyAPI,System configuration has been compromised entirely,Critical Error,bert,
110,3/1/2025 0:05,ModernHR,Unexpected server 46 stoppage occurred during data conversion,Error,bert,
113,9/3/2025 2:46,ThirdPartyAPI,Multiple login failures were detected for user 6373,Security Alert,bert,
115,6/3/2025 21:03,ModernHR,Critical system element is down: element ID Component96,Critical Error,bert,
118,1/24/2025 5:49,ThirdPartyAPI,API security system detected suspicious activity from user 9593,Security Alert,bert,
121,1/29/2025 17:00,BillingSystem,Admin access escalation detected for user 9429,Security Alert,bert,
122,9/16/2025 18:59,ModernHR,Account with ID 7813 created by User373.,User Action,regex,
125,3/29/2025 18:33,AnalyticsEngine,Elevation of admin privileges detected for user 4907,Security Alert,bert,
130,12/21/2025 19:36,ThirdPartyAPI,Multiple failed login attempts were reported for user 1053,Security Alert,bert,
139,5/8/2025 16:34,ModernHR,System reboot initiated by user User216.,System Notification,regex,
140,9/11/2025 8:49,AnalyticsEngine,System reboot initiated by user User639.,System Notification,regex,
147,12/30/2025 9:52,ModernCRM,Unrecoverable issue found in vital application module,Critical Error,bert,
159,9/28/2025 3:18,BillingSystem,User 2367 failed to provide valid API access credentials,Security Alert,bert,
160,3/30/2025 11:09,BillingSystem,Disk cleanup completed successfully.,System Notification,regex,
161,3/31/2025 19:40,BillingSystem,System reboot initiated by user User819.,System Notification,regex,
163,6/6/2025 15:29,BillingSystem,System reboot initiated by user User938.,System Notification,regex,
168,5/19/2025 7:56,ModernHR,Multiple incorrect login attempts were made by user 7918,Security Alert,bert,
169,2/17/2025 7:15,ThirdPartyAPI,Security alert: suspicious activity on server 1,Security Alert,bert,
173,11/30/2025 2:29,AnalyticsEngine,User 9167 experienced repeated login failures,Security Alert,bert,
175,9/15/2025 15:41,ModernHR,Essential system part malfunction: part ID Component6,Critical Error,bert,
187,8/26/2025 11:40,ModernCRM,Server 46 restarted without warning during data migration,Error,bert,
190,3/6/2025 2:08,BillingSystem,Data replication task for shard 6 did not complete,Error,bert,
193,10/27/2025 8:12,ModernCRM,"Server 29 is at risk due to unusual system calls, security check",Security Alert,bert,
195,10/24/2025 18:34,AnalyticsEngine,User 5127 has escalated admin privileges without authorization,Security Alert,bert,
198,6/4/2025 12:48,ModernCRM,Non-recoverable fault detected in key application section,Critical Error,bert,
200,12/5/2025 14:11,ModernHR,Account Account9437 blocked due to failed login,Security Alert,bert,
204,8/1/2025 17:08,AnalyticsEngine,Failure occurred in critical system component: component ID Component92,Critical Error,bert,
205,2/11/2025 11:36,ModernHR,Account with ID 9827 created by User965.,User Action,regex,
206,1/3/2025 3:05,ModernHR,Account Account7999 access denied due to login failure,Security Alert,bert,
208,11/2/2025 22:20,ThirdPartyAPI,Disk cleanup completed successfully.,System Notification,regex,
217,1/22/2025 5:45,BillingSystem,Mail service encountered a delivery glitch,Error,bert,
221,3/30/2025 11:36,AnalyticsEngine,Essential system part malfunction: part ID Component97,Critical Error,bert,
223,9/14/2025 12:41,AnalyticsEngine,Multiple hard drive issues in RAID configuration found,Critical Error,bert,
225,7/23/2025 12:56,AnalyticsEngine,Disk cleanup completed successfully.,System Notification,regex,
228,6/15/2025 16:15,ModernCRM,Shard 1 data copy failed,Error,bert,
229,11/17/2025 16:13,ModernHR,User 3569 made an unauthorized API request,Security Alert,bert,
234,4/29/2025 8:37,BillingSystem,Invalid credentials used for account Account4769 login,Security Alert,bert,
235,12/7/2025 9:01,ModernHR,Unusual access attempt from 192.168.197.162 logged,Security Alert,bert,
243,11/14/2025 1:04,BillingSystem,Abnormal shutdown of server 6 happened during data transfer,Error,bert,
248,5/2/2025 23:04,ModernHR,Service disruption caused by email sending error,Critical Error,bert,
249,12/22/2025 10:40,ThirdPartyAPI,System component malfunction: component ID Component90,Critical Error,bert,
252,2/11/2025 3:55,ModernCRM,Disk cleanup completed successfully.,System Notification,regex,
254,4/20/2025 13:47,ModernHR, Suspicious data export activity was identified,Security Alert,bert,
259,10/11/2025 19:05,BillingSystem,Account with ID 2520 created by User546.,User Action,regex,
262,2/2/2025 1:35,ModernHR,Data replication for shard 13 encountered an issue,Error,bert,
263,6/19/2025 3:42,BillingSystem,Shard 8 synchronization task failed,Error,bert,
265,3/30/2025 23:53,ModernCRM,Email system had a problem sending emails,Error,bert,
266,2/1/2025 6:49,ModernCRM,User 3720 has admin privileges escalated,Security Alert,bert,
267,6/19/2025 3:03,ThirdPartyAPI,Server 31 underwent an unplanned restart during data download,Error,bert,
270,5/13/2025 4:08,ModernCRM,User 9745 has escalated to admin level,Security Alert,bert,
273,7/29/2025 8:08,BillingSystem,Account with ID 2300 created by User964.,User Action,regex,
274,10/6/2025 20:22,ModernHR,Server 48 suffered an abrupt restart during data import,Error,bert,
278,5/22/2025 18:22,ModernHR,Failure of critical system component: component ID Component54,Critical Error,bert,
279,8/27/2025 16:33,ModernCRM,Unauthorized user 2968 tried to access restricted API,Security Alert,bert,
282,3/29/2025 2:48,ThirdPartyAPI,Service health check was not successful because of SSL certificate validation failures.,Error,bert,
283,1/25/2025 13:45,ModernCRM,Module X experienced an invalid data format issue,Error,bert,
286,2/5/2025 20:05,ThirdPartyAPI,Data replication for shard 16 was unsuccessful,Error,bert,
295,8/18/2025 6:57,AnalyticsEngine,Repeated failed login attempts occurred for user ID 8527,Security Alert,bert,
296,8/25/2025 4:55,ModernCRM,Potential security risk from 192.168.81.123 identified,Security Alert,bert,
297,11/17/2025 18:21,ModernCRM,Shard 2 experienced a replication failure,Error,bert,
299,9/13/2025 23:59,ThirdPartyAPI,User 8483 escalated privileges to admin level,Security Alert,bert,
300,8/20/2025 10:52,ModernCRM,Identification of multiple faulty disks in RAID array,Critical Error,bert,
304,1/22/2025 16:51,ModernHR,Alert: brute force login attempt from 192.168.226.241 detected,Security Alert,bert,
305,6/14/2025 20:13,ModernHR,Replication error occurred for shard 10,Error,bert,
306,7/21/2025 6:22,ThirdPartyAPI,Invalid login attempt made on secured account Account7864,Security Alert,bert,
307,4/12/2025 0:41,BillingSystem,System reboot initiated by user User929.,System Notification,regex,
313,4/5/2025 17:02,ThirdPartyAPI,An attempt to access data without clearance was made,Security Alert,bert,
316,2/26/2025 17:38,ModernCRM,Security breach suspected from IP address 192.168.157.122,Security Alert,bert,
318,12/28/2025 2:39,AnalyticsEngine,User 9131 made multiple failed login attempts,Security Alert,bert,
323,10/23/2025 14:08,ModernCRM,Unexpected termination of server 23 occurred during data update,Error,bert,
331,8/5/2025 7:49,ModernHR,Shard 19 data copy failed,Error,bert,
332,9/8/2025 14:49,ThirdPartyAPI,Account with ID 7505 created by User322.,User Action,regex,
336,5/1/2025 22:04,ModernHR,Detection of potential admin privilege abuse by user 2182,Security Alert,bert,
338,7/12/2025 8:15,ThirdPartyAPI,Server 18 went offline unexpectedly during data parsing,Error,bert,
344,11/13/2025 13:20,BillingSystem,Input format mismatch occurred in module X,Error,bert,
345,1/9/2025 21:50,ModernHR,User 6069 has been granted elevated admin privileges,Security Alert,bert,
347,9/28/2025 21:59,ModernCRM,Server 36 faced an unanticipated shutdown during data upload,Error,bert,
349,8/29/2025 18:54,ModernCRM,System component has stopped working: component ID Component51,Critical Error,bert,
353,2/19/2025 5:09,ModernCRM,Disk cleanup completed successfully.,System Notification,regex,
354,10/11/2025 17:37,BillingSystem,Potential security threat: Admin privilege escalation for user 5130,Security Alert,bert,
356,8/18/2025 8:06,ModernHR,User 8075 made multiple failed login attempts,Security Alert,bert,
357,9/22/2025 4:07,ThirdPartyAPI,"Anomalous activity identified on server 23, security review recommended",Security Alert,bert,
358,9/20/2025 14:08,ThirdPartyAPI,Replication of data to shard 1 failed,Error,bert,
360,9/3/2025 3:49,ModernCRM,RAID system detected multiple disk failures and errors,Critical Error,bert,
361,11/19/2025 23:06,BillingSystem,Email service experienced a sending issue,Error,bert,
364,10/6/2025 19:00,ThirdPartyAPI,Possible hacking attempt identified from IP 192.168.211.148,Security Alert,bert,
365,10/20/2025 22:32,ModernHR,System reboot initiated by user User533.,System Notification,regex,
368,4/5/2025 11:26,ThirdPartyAPI,User 2186 attempted to access API without proper authorization,Security Alert,bert,
369,11/28/2025 0:59,ThirdPartyAPI,Data replication task failed for shard 8,Error,bert,
371,10/30/2025 0:28,AnalyticsEngine,"Server 10 has potential security exposure, remediation needed",Security Alert,bert,
378,12/24/2025 19:10,AnalyticsEngine,Module X reported an error in input format validation,Error,bert,
379,6/1/2025 6:00,BillingSystem,IP 192.168.133.114 blocked due to potential attack,Security Alert,bert,
381,5/16/2025 11:44,AnalyticsEngine,Account with ID 4810 created by User581.,User Action,regex,
384,10/14/2025 11:29,AnalyticsEngine,Unapproved API login attempt from user 1618 recorded,Security Alert,bert,
386,7/29/2025 6:54,AnalyticsEngine,Admin privilege elevation warning for user 7574,Security Alert,bert,
388,9/25/2025 0:38,ThirdPartyAPI,Warning: IP 192.168.151.28 may be compromised,Security Alert,bert,
393,11/2/2025 7:15,ThirdPartyAPI,Vital system component is down: component ID Component75,Critical Error,bert,
397,6/20/2025 12:24,ModernCRM,UnAuthorized admin access granted to user 6611,Security Alert,bert,
398,1/31/2025 13:39,ModernHR,Unauthorised access attempt from 192.168.12.231 detected,Security Alert,bert,
399,8/21/2025 1:30,ThirdPartyAPI,RAID system reported multiple hard drive malfunctions,Critical Error,bert,
403,7/13/2025 5:37,ModernHR,Account with ID 4995 created by User559.,User Action,regex,
408,7/16/2025 23:19,ModernCRM,Critical failure found in main application component,Critical Error,bert,
409,8/25/2025 13:58,ThirdPartyAPI,Account Account8057 login attempt was not successful,Security Alert,bert,
411,9/4/2025 18:59,AnalyticsEngine,"Server 27 experienced potential security incident, review required",Security Alert,bert,
412,1/31/2025 23:46,ModernHR,User 4951 has been granted elevated admin privileges,Security Alert,bert,
414,11/14/2025 22:42,ModernHR,User 1987 has escalated to admin level,Security Alert,bert,
416,12/14/2025 4:21,ModernHR,System encountered kernel panic during initialization phase,Critical Error,bert,
417,1/30/2025 13:19,ThirdPartyAPI,Data replication for shard 2 was unsuccessful,Error,bert,
418,2/19/2025 17:12,ModernHR,RAID configuration had multiple disk failures detected,Critical Error,bert,
419,2/10/2025 8:23,ModernCRM,Account with ID 3889 created by User852.,User Action,regex,
421,9/14/2025 16:38,ModernCRM,Admin privilege escalation alert for user 2893,Security Alert,bert,
422,9/4/2025 16:37,ModernCRM,Invalid login attempt made on secured account Account8771,Security Alert,bert,
423,12/24/2025 19:51,ModernCRM,User 8276 account experienced multiple login failures,Security Alert,bert,
427,10/29/2025 20:36,ModernHR,Warning: potential password cracking attempt from 192.168.29.191,Security Alert,bert,
428,8/17/2025 18:53,BillingSystem,"Server 15 is at risk due to unusual system calls, security check",Security Alert,bert,
435,8/3/2025 8:12,AnalyticsEngine,Security alert: unauthorized API access attempt by user 9816,Security Alert,bert,
436,10/25/2025 0:54,ModernHR,IP 192.168.45.67 flagged for potential security threat,Security Alert,bert,
443,3/20/2025 22:03,AnalyticsEngine,Disk cleanup completed successfully.,System Notification,regex,
445,12/28/2025 21:50,ModernHR,Unforeseen server 6 reboot occurred during data export,Error,bert,
450,10/27/2025 5:59,ThirdPartyAPI,Email delivery system encountered an error,Error,bert,
452,1/20/2025 5:35,ModernCRM,User 5456 experienced multiple login rejections,Security Alert,bert,
453,4/4/2025 6:46,BillingSystem,Configuration is corrupted throughout the system,Critical Error,bert,
454,5/20/2025 11:01,AnalyticsEngine,Module X failed to process input due to formatting error,Error,bert,
463,4/27/2025 12:53,ModernCRM,"Alert: server 45 experienced unusual login attempts, security risk",Security Alert,bert,
464,4/24/2025 21:30,ThirdPartyAPI,"Server 7 has potential security exposure, remediation needed",Security Alert,bert,
465,11/2/2025 7:24,BillingSystem,Detected a potential data breach attempt,Security Alert,bert,
466,4/26/2025 9:49,BillingSystem,Disk cleanup completed successfully.,System Notification,regex,
467,6/5/2025 17:46,ModernCRM,"Server 36 experienced potential security incident, review required",Security Alert,bert,
477,12/2/2025 10:30,AnalyticsEngine,Email transmission error caused service impact,Critical Error,bert,
479,8/13/2025 1:26,ThirdPartyAPI,Potential security vulnerability found on server 42,Security Alert,bert,
480,1/22/2025 1:56,ModernHR,Unapproved API login attempt from user 5771 recorded,Security Alert,bert,
485,3/2/2025 6:42,ModernCRM,Server 39 suffered an abrupt restart during data import,Error,bert,
487,2/16/2025 21:42,BillingSystem,Restricted account Account9226 had login failure,Security Alert,bert,
494,6/2/2025 8:54,BillingSystem,Potential DDoS attack from 192.168.234.122 detected,Security Alert,bert,
